Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,12.5,0.000000000,78.500000000,0.023000000,75.500000000,75.900000000,76.400000000,77.100000000,78.500000000,79.200000000,79.800000000,80.100000000,80.300000000
1,13.5,0.000000000,79.700000000,0.022000000,76.700000000,77.100000000,77.600000000,78.300000000,79.700000000,80.400000000,81.000000000,81.300000000,81.500000000
1,14.5,0.000000000,80.900000000,0.021000000,77.800000000,78.200000000,78.700000000,79.400000000,80.900000000,81.600000000,82.200000000,82.500000000,82.700000000
1,15.5,0.000000000,82.000000000,0.020000000,78.900000000,79.300000000,79.800000000,80.500000000,82.000000000,82.700000000,83.300000000,83.600000000,83.800000000
1,16.5,0.000000000,83.100000000,0.019000000,79.900000000,80.300000000,80.800000000,81.500000000,83.100000000,83.800000000,84.400000000,84.700000000,84.900000000
1,17.5,0.000000000,84.100000000,0.018000000,80.900000000,81.300000000,81.800000000,82.500000000,84.100000000,84.800000000,85.400000000,85.700000000,85.900000000
1,18.5,0.000000000,85.000000000,0.017000000,81.800000000,82.200000000,82.700000000,83.400000000,85.000000000,85.700000000,86.300000000,86.600000000,86.800000000
1,19.5,0.000000000,85.900000000,0.016000000,82.700000000,83.100000000,83.600000000,84.300000000,85.900000000,86.600000000,87.200000000,87.500000000,87.700000000
1,20.5,0.000000000,86.800000000,0.015000000,83.500000000,83.900000000,84.400000000,85.100000000,86.800000000,87.500000000,88.100000000,88.400000000,88.600000000
1,21.5,0.000000000,87.600000000,0.014000000,84.300000000,84.700000000,85.200000000,85.900000000,87.600000000,88.300000000,88.900000000,89.200000000,89.400000000
1,22.5,0.000000000,88.400000000,0.013000000,85.000000000,85.400000000,85.900000000,86.600000000,88.400000000,89.100000000,89.700000000,90.000000000,90.200000000
1,23.5,0.000000000,89.200000000,0.012000000,85.700000000,86.100000000,86.600000000,87.300000000,89.200000000,89.900000000,90.500000000,90.800000000,91.000000000
1,24.5,0.000000000,89.900000000,0.011000000,86.400000000,86.800000000,87.300000000,88.000000000,89.900000000,90.600000000,91.200000000,91.500000000,91.700000000
1,25.5,0.000000000,90.600000000,0.010000000,87.000000000,87.400000000,87.900000000,88.600000000,90.600000000,91.300000000,91.900000000,92.200000000,92.400000000
1,26.5,0.000000000,91.300000000,0.009000000,87.600000000,88.000000000,88.500000000,89.200000000,91.300000000,92.000000000,92.600000000,92.900000000,93.100000000
1,27.5,0.000000000,91.900000000,0.008000000,88.200000000,88.600000000,89.100000000,89.800000000,91.900000000,92.600000000,93.200000000,93.500000000,93.700000000
1,28.5,0.000000000,92.500000000,0.007000000,88.700000000,89.100000000,89.600000000,90.300000000,92.500000000,93.200000000,93.800000000,94.100000000,94.300000000
1,29.5,0.000000000,93.100000000,0.006000000,89.200000000,89.600000000,90.100000000,90.800000000,93.100000000,93.800000000,94.400000000,94.700000000,94.900000000
1,30.5,0.000000000,93.600000000,0.005000000,89.700000000,90.100000000,90.600000000,91.300000000,93.600000000,94.300000000,94.900000000,95.200000000,95.400000000
1,31.5,0.000000000,94.100000000,0.004000000,90.100000000,90.500000000,91.000000000,91.700000000,94.100000000,94.800000000,95.400000000,95.700000000,95.900000000
1,32.5,0.000000000,94.600000000,0.003000000,90.500000000,90.900000000,91.400000000,92.100000000,94.600000000,95.300000000,95.900000000,96.200000000,96.400000000
1,33.5,0.000000000,95.000000000,0.002000000,90.900000000,91.300000000,91.800000000,92.500000000,95.000000000,95.700000000,96.300000000,96.600000000,96.800000000
1,34.5,0.000000000,95.400000000,0.001000000,91.200000000,91.600000000,92.100000000,92.800000000,95.400000000,96.100000000,96.700000000,97.000000000,97.200000000
1,35.5,0.000000000,95.800000000,0.000000000,91.500000000,91.900000000,92.400000000,93.100000000,95.800000000,96.500000000,97.100000000,97.400000000,97.600000000
1,36,0.000000000,95.900000000,0.000000000,91.600000000,92.000000000,92.500000000,93.200000000,95.900000000,96.600000000,97.200000000,97.500000000,97.700000000
2,0,0.000000000,49.980000000,0.036000000,47.800000000,48.100000000,48.500000000,49.200000000,49.980000000,50.700000000,51.300000000,51.600000000,51.800000000
2,0.5,0.000000000,54.700000000,0.035000000,52.400000000,52.800000000,53.300000000,54.000000000,54.700000000,55.400000000,56.000000000,56.300000000,56.500000000
2,1.5,0.000000000,58.400000000,0.034000000,56.000000000,56.400000000,56.900000000,57.600000000,58.400000000,59.100000000,59.700000000,60.000000000,60.200000000
2,2.5,0.000000000,61.400000000,0.033000000,58.900000000,59.300000000,59.800000000,60.500000000,61.400000000,62.100000000,62.700000000,63.000000000,63.200000000
2,3.5,0.000000000,64.000000000,0.032000000,61.400000000,61.800000000,62.300000000,63.000000000,64.000000000,64.700000000,65.300000000,65.600000000,65.800000000
2,4.5,0.000000000,66.200000000,0.031000000,63.600000000,64.000000000,64.500000000,65.200000000,66.200000000,66.900000000,67.500000000,67.800000000,68.000000000
2,5.5,0.000000000,68.200000000,0.030000000,65.500000000,65.900000000,66.400000000,67.100000000,68.200000000,68.900000000,69.500000000,69.800000000,70.000000000
2,6.5,0.000000000,70.000000000,0.029000000,67.200000000,67.600000000,68.100000000,68.800000000,70.000000000,70.700000000,71.300000000,71.600000000,71.800000000
2,7.5,0.000000000,71.600000000,0.028000000,68.800000000,69.200000000,69.700000000,70.400000000,71.600000000,72.300000000,72.900000000,73.200000000,73.400000000
2,8.5,0.000000000,73.100000000,0.027000000,70.300000000,70.700000000,71.200000000,71.900000000,73.100000000,73.800000000,74.400000000,74.700000000,74.900000000
2,9.5,0.000000000,74.500000000,0.026000000,71.700000000,72.100000000,72.600000000,73.300000000,74.500000000,75.200000000,75.800000000,76.100000000,76.300000000
2,10.5,0.000000000,75.900000000,0.025000000,73.000000000,73.400000000,73.900000000,74.600000000,75.900000000,76.600000000,77.200000000,77.500000000,77.700000000
2,11.5,0.000000000,77.200000000,0.024000000,74.300000000,74.700000000,75.200000000,75.900000000,77.200000000,77.900000000,78.500000000,78.800000000,79.000000000
2,12.5,0.000000000,78.500000000,0.023000000,75.500000000,75.900000000,76.400000000,77.100000000,78.500000000,79.200000000,79.800000000,80.100000000,80.300000000
2,13.5,0.000000000,79.700000000,0.022000000,76.700000000,77.100000000,77.600000000,78.300000000,79.700000000,80.400000000,81.000000000,81.300000000,81.500000000
2,14.5,0.000000000,80.900000000,0.021000000,77.800000000,78.200000000,78.700000000,79.400000000,80.900000000,81.600000000,82.200000000,82.500000000,82.700000000
2,15.5,0.000000000,82.000000000,0.020000000,78.900000000,79.300000000,79.800000000,80.500000000,82.000000000,82.700000000,83.300000000,83.600000000,83.800000000
2,16.5,0.000000000,83.100000000,0.019000000,79.900000000,80.300000000,80.800000000,81.500000000,83.100000000,83.800000000,84.400000000,84.700000000,84.900000000
2,17.5,0.000000000,84.100000000,0.018000000,80.900000000,81.300000000,81.800000000,82.500000000,84.100000000,84.800000000,85.400000000,85.700000000,85.900000000
2,18.5,0.000000000,85.000000000,0.017000000,81.800000000,82.200000000,82.700000000,83.400000000,85.000000000,85.700000000,86.300000000,86.600000000,86.800000000
2,19.5,0.000000000,85.900000000,0.016000000,82.700000000,83.100000000,83.600000000,84.300000000,85.900000000,86.600000000,87.200000000,87.500000000,87.700000000
2,20.5,0.000000000,86.800000000,0.015000000,83.500000000,83.900000000,84.400000000,85.100000000,86.800000000,87.500000000,88.100000000,88.400000000,88.600000000
2,21.5,0.000000000,87.600000000,0.014000000,84.300000000,84.700000000,85.200000000,85.900000000,87.600000000,88.300000000,88.900000000,89.200000000,89.400000000
2,22.5,0.000000000,88.400000000,0.013000000,85.000000000,85.400000000,85.900000000,86.600000000,88.400000000,89.100000000,89.700000000,90.000000000,90.200000000
2,23.5,0.000000000,89.200000000,0.012000000,85.700000000,86.100000000,86.600000000,87.300000000,89.200000000,89.900000000,90.500000000,90.800000000,91.000000000
2,24.5,0.000000000,89.900000000,0.011000000,86.400000000,86.800000000,87.300000000,88.000000000,89.900000000,90.600000000,91.200000000,91.500000000,91.700000000
2,25.5,0.000000000,90.600000000,0.010000000,87.000000000,87.400000000,87.900000000,88.600000000,90.600000000,91.300000000,91.900000000,92.200000000,92.400000000
2,26.5,0.000000000,91.300000000,0.009000000,87.600000000,88.000000000,88.500000000,89.200000000,91.300000000,92.000000000,92.600000000,92.900000000,93.100000000
2,27.5,0.000000000,91.900000000,0.008000000,88.200000000,88.600000000,89.100000000,89.800000000,91.900000000,92.600000000,93.200000000,93.500000000,93.700000000
2,28.5,0.000000000,92.500000000,0.007000000,88.700000000,89.100000000,89.600000000,90.300000000,92.500000000,93.200000000,93.800000000,94.100000000,94.300000000
2,29.5,0.000000000,93.100000000,0.006000000,89.200000000,89.600000000,90.100000000,90.800000000,93.100000000,93.800000000,94.400000000,94.700000000,94.900000000
2,30.5,0.000000000,93.600000000,0.005000000,89.700000000,90.100000000,90.600000000,91.300000000,93.600000000,94.300000000,94.900000000,95.200000000,95.400000000
2,31.5,0.000000000,94.100000000,0.004000000,90.100000000,90.500000000,91.000000000,91.700000000,94.100000000,94.800000000,95.400000000,95.700000000,95.900000000
2,32.5,0.000000000,94.600000000,0.003000000,90.500000000,90.900000000,91.400000000,92.100000000,94.600000000,95.300000000,95.900000000,96.200000000,96.400000000
2,33.5,0.000000000,95.000000000,0.002000000,90.900000000,91.300000000,91.800000000,92.500000000,95.000000000,95.700000000,96.300000000,96.600000000,96.800000000
2,34.5,0.000000000,95.400000000,0.001000000,91.200000000,91.600000000,92.100000000,92.800000000,95.400000000,96.100000000,96.700000000,97.000000000,97.200000000
2,35.5,0.000000000,95.800000000,0.000000000,91.500000000,91.900000000,92.400000000,93.100000000,95.800000000,96.500000000,97.100000000,97.400000000,97.600000000
2,36,0.000000000,95.900000000,0.000000000,91.600000000,92.000000000,92.500000000,93.200000000,95.900000000,96.600000000,97.200000000,97.500000000,97.700000000
